Global ID,Brand,Product Type,Cycle Type,Segment,Range (Internal),Bead,CAI (Manufacturer Code),Rear Fit Compatible ,Customer/Market,Width ETRTO,Diameter ETRTO,Designation (Internal),Type (Tube),Valve (Tube),Valve Length,EAN Code,MSPN Code (Internal),UPC Code,LIVM,Discontinued Date,Weight (g),Conditioning,Unit Packaging Weight (g),Unit Packaging Width (mm),Unit Packaging Depth (mm),Unit Packaging Heigth (mm),Individual Packaging Material,Transportation packaging Weight,Transportation Packaging Width (mm),Transportation Packaging Depth (mm),Transportation Packaging Heigth (mm),Transportation Packaging Material,RPC code (Levorin),Market Perimeter,Web Range Name,Web Diameter (mm),Web Diameter (Inch),Web Width (mm),Web Width (Inch),Rim Type,Web Product Designation,Fitting,TPI,Minimum Pressure (Bar),Maximum Pressure (Bar),Minimum Pressure (Psi),Maximum Pressure (Psi),Recommended Inner Tube,Sidewall Type,Sealing,Shore,Sidewall Color,Tread Pattern Color,Terrain Types,Use,Rubber Technologies,Casing Technologies,Tread Pattern Technologies,Reinforcement Technologies,E-Bike Technologies,Conversion Psi mini,Conversion Psi maxi,ECO BOX/PACK TYPE,POIDS TOTAL (g),Reflective strip,Knurling strip,Shoulder Color,Border Color,Label type,CYCLE TYPE WEB
BI-168,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER GRAVEL EXTREME,FOLDABLE BEAD,604642,,RT,47,622,47-622 (700x47C) POWER GRAVEL EXTREME CLASSIC TS TLR,,,,3528706046421,87545,086699875457,janv.-27,déc.-35,600,10,93,140,110,245,CARDBOARD,690,300,600,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER GRAVEL EXTREME COMPETITION LINE,700,,47,,"HOOKED, HOOKLESS",47-622 (700x47C) POWER GRAVEL EXTREME COMPETITION LINE CLASSIC FOLDABLE BEAD TLR,FRONT/REAR,3X120,-,4,-,58,A4 47/61mm 622mm,THINWALL,TUBELESS READY,,CLASSIC,BLACK,"ASPHALT,OFFROAD HARD PACKED,OFFROAD MIXED, OFFROAD SOFT","TRAIL,TREKKING,E-GRAVEL,E-TREKKING",GUM-X,,,BEAD TO BEAD PROTECTION,,,58,BOX_XL,7620,NO,NO,BLACK,BLACK,CLASSIC ,"GRAVEL,COMMUTING & TOUR,E-BIKE"
BI-99,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER ROAD,FOLDABLE BEAD,017605,,RT,25,622,25-622 (700X25C) POWER ROAD BLACK TS,,,,3528700176056,36345,086699363459,janv.-20,déc.-21,235,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD EXCEPT US,MICHELIN POWER ROAD COMPETITION LINE,700,,25,,HOOKED,25-622 (700X25C) POWER ROAD BLACK ,FRONT/REAR,3X120,5,8,72,116,A1 18/25mm 622mm,THINWALL,TUBE TYPE,,BLACK,BLACK,ASPHALT,RACING,,,,,,72,116,BOX_S,2975,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-121,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER ROAD TLR,FOLDABLE BEAD,876172,,RT,25,622,25-622 (700X25C) POWER ROAD BLACK TS TLR,,,,3528708761728,42789,086699427892,mars-20,juin-22,275,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER ROAD TLR COMPETITION LINE,700,,25,,"HOOKED, HOOKLESS",25-622 (700X25C) POWER ROAD TLR BLACK ,FRONT/REAR,4X120,5,8,72,116,A1 18/25mm 622mm,THINWALL,TUBELESS READY,,BLACK,BLACK,ASPHALT,RACING,,,,,,72,116,BOX_S,3375,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-121,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER ROAD TLR,FOLDABLE BEAD,573788,,RT,28,622,28-622 (700X28C) POWER ROAD BLACK TS TLR,,,,3528705737887,22908,086699229083,mars-20,juin-22,305,10,70,95,100,250,CARDBOARD,460,220,510,280,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER ROAD TLR COMPETITION LINE,700,,28,,"HOOKED, HOOKLESS",28-622 (700X28C) POWER ROAD TLR BLACK ,FRONT/REAR,4X120,5,8,72,116,A2 26/32mm 622/635mm,THINWALL,TUBELESS READY,,BLACK,BLACK,ASPHALT,RACING,,,,,,72,116,BOX_M95,4210,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-126,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER CUP,FOLDABLE BEAD,668854,,RT,23,622,23-622 (700X23C) POWER CUP BLACK TS,,,,3528706688546,35955,086699359551,mars-22,déc.-30,205,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER CUP COMPETITION LINE,700,,23,,HOOKED,23-622 (700X23C) POWER CUP BLACK,FRONT/REAR,3X120,6,8,87,116,A1 18/25mm 622mm,THINWALL,TUBE TYPE,,BLACK,BLACK,ASPHALT,RACING,GUM-X,ARAMID SHIELD,,,,87,116,BOX_S,2675,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-126,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER CUP,FOLDABLE BEAD,016392,,RT,25,622,25-622 (700X25C) POWER CUP BLACK TS,,,,3528700163926,08805,086699088055,mars-22,déc.-30,215,10,40,75,74,226,CARDBOARD,225,160,400,265,CARDBOARD,,WORLD,MICHELIN POWER CUP COMPETITION LINE,700,,25,,HOOKED,25-622 (700X25C) POWER CUP BLACK,FRONT/REAR,3X120,5,8,72,116,A1 18/25mm 622mm,THINWALL,TUBE TYPE,,BLACK,BLACK,ASPHALT,RACING,GUM-X,ARAMID SHIELD,,,,72,116,BOX_S,2775,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-126,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER CUP,FOLDABLE BEAD,954929,,RT,25,622,25-622 (700X25C) POWER CUP CLASSIC TS,,,,3528709549295,15046,086699150462,mai-22,déc.-30,220,10,40,75,74,226,CARDBOARD,225,160,400,265,CARDBOARD,,WORLD,MICHELIN POWER CUP COMPETITION LINE,700,,25,,HOOKED,25-622 (700X25C) POWER CUP CLASSIC,FRONT/REAR,3X120,5,8,72,116,A1 18/25mm 622mm,THINWALL,TUBE TYPE,,CLASSIC,BLACK,ASPHALT,RACING,GUM-X,ARAMID SHIELD,,,,72,116,BOX_S,2825,NO,NO,BLACK,BLACK,CLASSIC ,ROAD
BI-126,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER CUP,FOLDABLE BEAD,937877,,RT,28,622,28-622 (700X28C) POWER CUP BLACK TS,,,,3528709378772,77943,086699779434,mars-22,déc.-30,240,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER CUP COMPETITION LINE,700,,28,,HOOKED,28-622 (700X28C) POWER CUP BLACK,FRONT/REAR,3X120,4,"6,5",58,94,A2 26/32mm 622/635mm,THINWALL,TUBE TYPE,,BLACK,BLACK,ASPHALT,RACING,GUM-X,ARAMID SHIELD,,,,58,94,BOX_S,3025,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-126,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER CUP,FOLDABLE BEAD,315812,,RT,28,622,28-622 (700X28C) POWER CUP CLASSIC TS,,,,3528703158127,20391,086699203915,mai-22,déc.-30,235,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER CUP COMPETITION LINE,700,,28,,HOOKED,28-622 (700X28C) POWER CUP CLASSIC,FRONT/REAR,3X120,4,"6,5",58,94,A2 26/32mm 622/635mm,THINWALL,TUBE TYPE,,CLASSIC,BLACK,ASPHALT,RACING,GUM-X,ARAMID SHIELD,,,,58,94,BOX_S,2975,NO,NO,BLACK,BLACK,CLASSIC ,ROAD
BI-127,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER CUP TLR,FOLDABLE BEAD,176421,,RT,25,622,25-622 (700X25C) POWER CUP BLACK TS TLR,,,,3528701764214,00460,086699004604,mai-22,déc.-29,260,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER CUP TLR COMPETITION LINE,700,,25,,"HOOKED, HOOKLESS",25-622 (700X25C) POWER CUP BLACK TLR ,FRONT/REAR,3X120,5,8,72,116,A1 18/25mm 622mm,THINWALL,TUBELESS READY,,BLACK,BLACK,ASPHALT,RACING,GUM-X,TUBELESS SHIELD,,,,72,116,BOX_S,3225,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-127,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER CUP TLR,FOLDABLE BEAD,598238,,RT,25,622,25-622 (700X25C) POWER CUP CLASSIC TS TLR,,,,3528705982386,44457,086699444578,mai-22,déc.-29,270,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER CUP TLR COMPETITION LINE,700,,25,,"HOOKED, HOOKLESS",25-622 (700X25C) POWER CUP CLASSIC TLR ,FRONT/REAR,3X120,5,8,72,116,A1 18/25mm 622mm,THINWALL,TUBELESS READY,,CLASSIC,BLACK,ASPHALT,RACING,GUM-X,TUBELESS SHIELD,,,,72,116,BOX_S,3325,NO,NO,BLACK,BLACK,CLASSIC ,ROAD
BI-127,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER CUP TLR,FOLDABLE BEAD,000569,,RT,28,622,28-622 (700X28C) POWER CUP BLACK TS TLR,,,,3528700005691,34796,086699347961,mai-22,déc.-26,285,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER CUP TLR COMPETITION LINE,700,,28,,"HOOKED, HOOKLESS",28-622 (700X28C) POWER CUP BLACK TLR ,FRONT/REAR,3X120,5,7,72,101,A2 26/32mm 622/635mm,THINWALL,TUBELESS READY,,BLACK,BLACK,ASPHALT,RACING,GUM-X,TUBELESS SHIELD,,,,72,101,BOX_S,3475,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-127,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER CUP TLR,FOLDABLE BEAD,971591,,RT,28,622,28-622 (700X28C) POWER CUP CLASSIC TS TLR,,,,3528709715911,04106,086699041067,mai-22,déc.-26,285,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER CUP TLR COMPETITION LINE,700,,28,,"HOOKED, HOOKLESS",28-622 (700X28C) POWER CUP CLASSIC TLR ,FRONT/REAR,3X120,5,7,72,101,A2 26/32mm 622/635mm,THINWALL,TUBELESS READY,,CLASSIC,BLACK,ASPHALT,RACING,GUM-X,TUBELESS SHIELD,,,,72,101,BOX_S,3475,NO,NO,BLACK,BLACK,CLASSIC ,ROAD
BI-127,MICHELIN,TYRE,ROAD,PREMIUM COMPETITION LINE,POWER CUP TLR,FOLDABLE BEAD,527184,,RT,30,622,30-622 (700X30C) POWER CUP BLACK TS TLR,,,,3528705271848,12601,086699126016,sept.-22,déc.-26,305,10,49,90,75,250,CARDBOARD,325,200,400,300,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER CUP TLR COMPETITION LINE,700,,30,,"HOOKED, HOOKLESS",30-622 (700X30C) POWER CUP BLACK TLR ,FRONT/REAR,3X120,4,6,58,87,A2 26/32mm 622/635mm,THINWALL,TUBELESS READY,,BLACK,BLACK,ASPHALT,RACING,GUM-X,TUBELESS SHIELD,,,,58,87,BOX_S+,3865,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
